帧ID 时间戳 目标ID 距离 角度 速度
1102 1695523803.953287 48 150.2 -6.4 -5.86
1103 1695523803.953287 51 143.6 -5.7 -5.91
1104 1695523803.953287 54 37.3 5 -5.84
1105 1695523803.953287 55 23.4 -22.1 -5.66
1106 1695523803.953287 57 45.6 2.6 -5.89
1107 1695523803.953287 59 70.1 4.4 -5.93
1108 1695523803.953287 61 50.5 -13.3 -5.76
1109 1695523803.953287 63 131.3 -5.9 -5.86
1110 1695523804.157295 0 75.5 -1 -5.89
1111 1695523804.157295 1 14.5 -32.6 -5.19
1112 1695523804.157295 2 103.2 -5.4 -5.92
1113 1695523804.157295 3 64.6 4.6 -5.9
1114 1695523804.157295 5 28 -18.7 -5.69
1115 1695523804.157295 6 70.6 1.4 -5.9
1116 1695523804.157295 10 86.5 -4.8 -5.88
1117 1695523804.157295 12 26.7 -3.6 0.38
1118 1695523804.157295 14 52.6 0.1 -5.87
1119 1695523804.157295 16 170.7 -5.2 -5.88
1120 1695523804.157295 17 119.9 -6.6 10.28
1121 1695523804.157295 19 150 -7.7 -5.85
1122 1695523804.157295 20 27.3 7.7 -5.8
1123 1695523804.157295 24 13.6 23.9 -5.4
1124 1695523804.157295 28 159.8 -8.4 -5.85
1125 1695523804.157295 31 65 -1.4 -5.88
1126 1695523804.157295 34 22.1 13.4 -5.75
1127 1695523804.157295 35 70 -3.7 -5.91
1128 1695523804.157295 37 120.9 -1.2 10.13
1129 1695523804.157295 38 37.6 -15.9 -5.75
1130 1695523804.157295 42 89.8 0.2 -5.9
1131 1695523804.157295 45 120 -10.2 10.1
1132 1695523804.157295 48 149 -6.5 -5.92
1133 1695523804.157295 50 130.5 -5 -5.88
1134 1695523804.157295 51 142.5 -5.9 -5.91
1135 1695523804.157295 53 136.6 -9 -5.87
1136 1695523804.157295 54 35 5 -5.85
1137 1695523804.157295 55 21.9 -22.7 -5.65
1138 1695523804.157295 57 44.1 2.8 -5.89
1139 1695523804.157295 58 120 -5.1 10.1
1140 1695523804.157295 60 130.6 1.8 -5.87
1141 1695523804.157295 61 48.6 -13.4 -5.76
1142 1695523804.157295 62 13.5 38.7 -4.46
1143 1695523804.359156 0 74.3 -1.2 -5.89
1144 1695523804.359156 1 13.1 -35.7 -5.07
1145 1695523804.359156 2 101.9 -5.7 -5.92
1146 1695523804.359156 5 26.4 -19.6 -5.67
1147 1695523804.359156 9 58.3 6 -5.91
1148 1695523804.359156 10 85.5 -4.7 -5.95
1149 1695523804.359156 12 26.8 -3.8 0.41
1150 1695523804.359156 14 50.9 0.1 -5.88
1151 1695523804.359156 17 121.9 -6.4 10.28
1152 1695523804.359156 20 25.8 9.3 -5.8
1153 1695523804.359156 22 128.7 -7.5 -5.89
1154 1695523804.359156 24 12 28.2 -5.2
1155 1695523804.359156 25 20.3 13.8 -5.71
1156 1695523804.359156 28 158.5 -8.4 -5.87
1157 1695523804.359156 31 63.9 -1.2 -5.88
1158 1695523804.359156 33 122.8 -3 10.09
1159 1695523804.359156 35 68.9 -3.6 -5.98
1160 1695523804.359156 38 35.6 -16.6 -5.75
1161 1695523804.359156 40 18.7 14.6 -5.69
1162 1695523804.359156 48 147.8 -6.6 -5.92
1163 1695523804.359156 50 129.2 -5.1 -5.89
1164 1695523804.359156 51 141.5 -6.2 -5.91
1165 1695523804.359156 53 135.5 -8.9 -5.88
1166 1695523804.359156 54 34 5.4 -5.87
1167 1695523804.359156 55 20.2 -24.1 -5.6
1168 1695523804.359156 57 43.1 2.7 -5.89
1169 1695523804.359156 61 47.1 -14.7 -5.78
1170 1695523804.359156 63 9.2 44 -4.3
1171 1695523804.559374 0 73 -1 -5.95
1172 1695523804.559374 1 11.9 -38.9 -4.99
1173 1695523804.559374 2 100.1 -5.4 -5.95
1174 1695523804.559374 3 64.2 3.8 -5.95
1175 1695523804.559374 5 24.9 -21.2 -5.67
1176 1695523804.559374 7 124.1 1.4 10.05
1177 1695523804.559374 10 84.4 -4.9 -5.95
1178 1695523804.559374 12 26.9 -4 0.43
1179 1695523804.559374 14 49.9 0.1 -5.94
1180 1695523804.559374 16 168.9 -6.7 -5.9
1181 1695523804.559374 17 124 -6.4 10.28
1182 1695523804.559374 18 54.5 -13.3 -5.91
1183 1695523804.559374 20 24.3 10.3 -5.81
1184 1695523804.559374 21 69.9 -3.4 -5.95
1185 1695523804.559374 22 127.4 -7.9 -5.89
1186 1695523804.559374 24 10.4 34.4 -4.67
1187 1695523804.559374 25 18.8 15.7 -5.75
1188 1695523804.559374 28 156.8 -8.5 -5.87
1189 1695523804.559374 31 62.8 -1.4 -5.95
1190 1695523804.559374 38 33.7 -17 -5.74
1191 1695523804.559374 39 56.6 6 -5.95
1192 1695523804.559374 48 146.7 -7.4 -5.92
1193 1695523804.559374 50 127.8 -5.2 -5.89
1194 1695523804.559374 51 140.2 -6.2 -5.91
1195 1695523804.559374 53 134 -9.1 -5.88
1196 1695523804.559374 54 32.8 6 -5.88
1197 1695523804.559374 55 18.6 -25.7 -5.54
1198 1695523804.559374 56 69.9 3.7 -5.95
1199 1695523804.559374 57 41.8 1.9 -5.89
1200 1695523804.559374 61 46.1 -15.3 -5.84
1201 1695523804.559374 63 8.3 49.3 -4.16
1202 1695523804.761343 0 71.7 -1.2 -6.01
1203 1695523804.761343 1 10.9 -42.4 -4.95
1204 1695523804.761343 2 98.1 -5.6 -6.02
1205 1695523804.761343 5 23.4 -22.9 -5.66
1206 1695523804.761343 8 53.6 6.8 -5.95
1207 1695523804.761343 11 80.3 -3.4 -5.98
1208 1695523804.761343 12 26.9 -4.4 0.44
1209 1695523804.761343 13 126.6 5.7 -5.92
1210 1695523804.761343 14 48.5 0.2 -6
1211 1695523804.761343 15 134.3 -7.7 -5.94
1212 1695523804.761343 17 126.1 -6.2 10.28
1213 1695523804.761343 20 22.9 11.4 -5.82
1214 1695523804.761343 22 126.3 -7.9 -5.91
1215 1695523804.761343 24 9.1 47.3 -4.09
1216 1695523804.761343 25 17.1 17.6 -5.62
1217 1695523804.761343 31 61.7 -2.2 -6.01
1218 1695523804.761343 32 40.5 -13 -5.88
1219 1695523804.761343 38 31.8 -18.3 -5.75
1220 1695523804.761343 48 145.7 -7.7 -5.92
1221 1695523804.761343 49 157.3 -8.6 -5.92
1222 1695523804.761343 51 139 -6.2 -5.95
1223 1695523804.761343 53 132.3 -9.2 -5.88
1224 1695523804.761343 54 31.6 6.6 -5.9
1225 1695523804.761343 55 17 -27.6 -5.47
1226 1695523804.761343 56 68.8 3.2 -5.98
1227 1695523804.761343 57 40.4 1.7 -5.88
1228 1695523804.761343 58 117.2 4.8 -5.93
1229 1695523804.761343 61 44.9 -15.1 -5.9
1230 1695523804.962086 0 70.5 -1.4 -6.07
1231 1695523804.962086 1 10 -48.6 -4.91
1232 1695523804.962086 2 96.7 -5.6 -6.02
1233 1695523804.962086 3 115.7 5.8 -5.95
1234 1695523804.962086 4 165.8 -5.7 -6.03
1235 1695523804.962086 5 22 -23.9 -5.67
1236 1695523804.962086 7 121.9 -4.9 -5.99
1237 1695523804.962086 11 79.2 -2.7 -5.99
1238 1695523804.962086 12 27 -4.2 0.41
1239 1695523804.962086 14 47.3 0.3 -6.03
1240 1695523804.962086 18 122.5 6.9 -5.99
1241 1695523804.962086 20 21.2 11.8 -5.83
1242 1695523804.962086 21 128.3 -9.6 9.98
1243 1695523804.962086 22 125.1 -7.7 -5.97
1244 1695523804.962086 23 41.3 -11.2 -5.88
1245 1695523804.962086 24 8.4 50.1 -4.02
1246 1695523804.962086 25 15.9 19.6 -5.62
1247 1695523804.962086 27 146.6 -7 -6
1248 1695523804.962086 28 11.1 29.4 -5.12
1249 1695523804.962086 29 56.9 -14 -5.9
1250 1695523804.962086 31 59.9 -1.9 -6.04
1251 1695523804.962086 32 39 -15.2 -5.91
1252 1695523804.962086 38 30.1 -19 -5.76
1253 1695523804.962086 39 108.1 -7.2 -5.97
1254 1695523804.962086 40 68.1 -4.5 -6.01
1255 1695523804.962086 42 62.7 4.3 -6
1256 1695523804.962086 44 52.3 6.3 -5.99
1257 1695523804.962086 45 55.2 -10.4 -5.98
1258 1695523804.962086 48 144.6 -7.7 -5.98
1259 1695523804.962086 51 137.8 -6.1 -6.01
1260 1695523804.962086 53 131.2 -9.4 -5.95
1261 1695523804.962086 54 30.2 6.4 -5.95
1262 1695523804.962086 55 15.2 -32 -5.37
1263 1695523804.962086 56 67.6 2.3 -5.99
1264 1695523804.962086 57 39 2.4 -5.95
1265 1695523804.962086 59 154.5 -8.5 -5.97
1266 1695523804.962086 61 43.1 -16 -5.88
1267 1695523805.165572 0 69.4 -0.8 -6.09
1268 1695523805.165572 1 9.1 -51.2 -4.84
1269 1695523805.165572 2 95.5 -5.7 -6.02
1270 1695523805.165572 4 164.4 -5.6 -6.08
1271 1695523805.165572 5 20.7 -24.4 -5.66
1272 1695523805.165572 7 120.8 -5.2 -6
1273 1695523805.165572 9 106.5 5.3 -5.99
1274 1695523805.165572 11 77.6 -2.5 -6.01
1275 1695523805.165572 12 27 -4.4 0.41
1276 1695523805.165572 14 46.2 0.4 -6.03
1277 1695523805.165572 15 48.2 -11.7 -5.92
1278 1695523805.165572 17 51.3 6.8 -6
1279 1695523805.165572 20 19.9 13.2 -5.84
1280 1695523805.165572 22 123.9 -8 -6.03
1281 1695523805.165572 24 7.7 51.1 -4.05
1282 1695523805.165572 25 14.4 20.9 -5.62
1283 1695523805.165572 26 130.4 -0.1 9.95
1284 1695523805.165572 29 55.6 -14.1 -5.9
1285 1695523805.165572 31 58.7 -2.1 -6.04
1286 1695523805.165572 32 37.3 -16.2 -5.88
1287 1695523805.165572 33 133.8 5 -6.48
1288 1695523805.165572 38 28.1 -18.9 -5.76
1289 1695523805.165572 40 66.7 -4.9 -6.02
1290 1695523805.165572 48 143.5 -7.3 -6.05
1291 1695523805.165572 49 79.3 -7.3 -6.03
1292 1695523805.165572 51 136.7 -5.9 -6.04
1293 1695523805.165572 54 28.9 6.3 -5.95
1294 1695523805.165572 55 13.7 -35.2 -5.13
1295 1695523805.165572 56 66.4 2.3 -6.05
1296 1695523805.165572 57 37.8 2.8 -6.02
1297 1695523805.165572 59 153.5 -8.5 -5.98
1298 1695523805.165572 60 89.9 -3.7 -6.02
1299 1695523805.165572 61 42.1 -16.1 -5.88
1300 1695523805.368672 0 68.2 -0.9 -6.08
1301 1695523805.368672 2 94.3 -5.8 -6.02
1302 1695523805.368672 5 19.5 -26.7 -5.66
1303 1695523805.368672 7 119.6 -5.7 -6.02
1304 1695523805.368672 10 134 4.3 -6.48
1305 1695523805.368672 11 75.8 -2.6 -6.07
1306 1695523805.368672 12 27.1 -4.6 0.41
1307 1695523805.368672 14 44.2 0.9 -6.03
1308 1695523805.368672 15 47.1 -13.6 -5.99
1309 1695523805.368672 17 50 6.4 -6.02
1310 1695523805.368672 19 54.6 0 -6.02
1311 1695523805.368672 20 18.6 14.3 -5.86
1312 1695523805.368672 22 122.8 -8.6 -6.05
1313 1695523805.368672 23 113.5 6 -6.01
1314 1695523805.368672 25 13.4 24.8 -5.55
1315 1695523805.368672 29 54.1 -14.5 -5.95
1316 1695523805.368672 30 162.9 -8.9 -6.02
1317 1695523805.368672 31 57.6 -1.9 -6.04
1318 1695523805.368672 32 35.6 -16.9 -5.89
1319 1695523805.368672 35 14.3 37.8 -4.87
1320 1695523805.368672 37 102.9 5.3 -5.99
1321 1695523805.368672 38 26.2 -20.9 -5.75
1322 1695523805.368672 40 65.5 -4.9 -6.02
1323 1695523805.368672 43 55.1 2.4 -6.02
1324 1695523805.368672 48 142.4 -7.2 -6.05
1325 1695523805.368672 51 135.4 -5.6 -6.04
1326 1695523805.368672 54 26.9 7.2 -5.94
1327 1695523805.368672 55 12.3 -38.8 -4.87
1328 1695523805.368672 56 64.6 3 -6.05
1329 1695523805.368672 57 36.5 3.2 -6.06
1330 1695523805.368672 58 134.6 -10 -6
1331 1695523805.368672 59 152.4 -8.3 -6.02
1332 1695523805.368672 60 87.9 -3.9 -6.02
1333 1695523805.368672 61 41.1 -16.3 -5.88
1334 1695523805.368672 62 175.3 -9.8 -6.02
1335 1695523805.572165 0 66.9 -0.5 -6.08
1336 1695523805.572165 3 83.3 9.2 -6.03
1337 1695523805.572165 5 18.2 -27.6 -5.66
1338 1695523805.572165 7 118.5 -5.9 -6.08
1339 1695523805.572165 9 51.9 0.3 -6.05
1340 1695523805.572165 11 74.2 -2.7 -6.09
1341 1695523805.572165 12 27.2 -4.5 0.38
1342 1695523805.572165 13 133.9 -10.3 -6.16
1343 1695523805.572165 14 42.2 1.6 -6.03
1344 1695523805.572165 17 48.9 6.8 -6.02
1345 1695523805.572165 20 17.5 15.9 -5.84
1346 1695523805.572165 22 121.6 -8.9 -6.05
1347 1695523805.572165 25 12.3 27.6 -5.54
1348 1695523805.572165 26 122.3 -4.3 -6.05
1349 1695523805.572165 29 52.8 -14.6 -6.02
1350 1695523805.572165 32 34.1 -17.2 -5.9
1351 1695523805.572165 33 122.3 4.1 -6.05
1352 1695523805.572165 35 13 37 -4.77
1353 1695523805.572165 38 24.5 -21.8 -5.76
1354 1695523805.572165 39 9 44.1 -4.49
1355 1695523805.572165 40 64.4 -4.6 -6.05
1356 1695523805.572165 44 48.5 -12.9 -5.98
1357 1695523805.572165 48 141.1 -7.3 -6.05
1358 1695523805.572165 49 134.1 4.2 -6.48
1359 1695523805.572165 51 133.9 -5.6 -6.04
1360 1695523805.572165 54 25.7 8 -5.97
1361 1695523805.572165 55 11.3 -41.6 -4.84
1362 1695523805.572165 56 63.5 3.5 -6.05
1363 1695523805.572165 57 34.1 4.1 -6.04
1364 1695523805.572165 59 151 -8 -6.09
1365 1695523805.572165 60 86.3 -3.7 -6.02
1366 1695523805.572165 61 39.4 -16.2 -5.92
1367 1695523805.772867 0 65.7 0 -6.09
1368 1695523805.772867 4 57.5 5.3 -6.07
1369 1695523805.772867 5 17 -28.9 -5.64
1370 1695523805.772867 7 117.3 -5.9 -6.09
1371 1695523805.772867 9 50.8 -0.3 -6.08
1372 1695523805.772867 11 73 -3.1 -6.09
1373 1695523805.772867 12 27.1 -4.4 0.34
1374 1695523805.772867 14 40.1 2.4 -6.06
1375 1695523805.772867 15 18.5 26.6 -5.45
1376 1695523805.772867 17 47.6 7 -6.02
1377 1695523805.772867 20 16 18.2 -5.8
1378 1695523805.772867 22 120.5 -8.7 -6.05
1379 1695523805.772867 25 11.3 37.1 -5.51
1380 1695523805.772867 29 51.5 -14.8 -6.04
1381 1695523805.772867 30 132 -9.4 -6.06
1382 1695523805.772867 32 32.2 -16.6 -5.91
1383 1695523805.772867 34 61.6 -2.4 -6.09
1384 1695523805.772867 37 140.1 -6 -6.08
1385 1695523805.772867 38 22.6 -23.2 -5.76
1386 1695523805.772867 39 8.3 47.1 -4.43
1387 1695523805.772867 40 63.3 -4.6 -6.12
1388 1695523805.772867 43 113.1 10.2 -6.02
1389 1695523805.772867 44 46.6 -14 -6.04
1390 1695523805.772867 48 139.9 -7.4 -6.05
1391 1695523805.772867 51 132.8 -5.4 -6.05
1392 1695523805.772867 54 24.2 8.9 -5.99
1393 1695523805.772867 55 10.3 -47.1 -4.89
1394 1695523805.772867 56 62.1 3.9 -6.12
1395 1695523805.772867 57 32.9 4.6 -6.04
1396 1695523805.772867 58 163.9 -8.6 -6.05
1397 1695523805.772867 59 149.3 -7.6 -6.1
1398 1695523805.772867 60 85.2 -3.5 -6.1
1399 1695523805.772867 61 38.1 -16.4 -5.98
1400 1695523806.29206 0 64 -0.1 -6.09
1401 1695523806.29206 5 15.4 -31.4 -5.53
1402 1695523806.29206 6 126.3 -7.6 -6.12
1403 1695523806.29206 7 115.9 -5.6 -6.11
1404 1695523806.29206 9 48.9 1.4 -6.13
1405 1695523806.29206 11 71.6 -3.2 -6.12
1406 1695523806.29206 12 27.2 -4.2 0.33
1407 1695523806.29206 14 38.4 2.9 -6.14
1408 1695523806.29206 15 17 28.5 -5.37
1409 1695523806.29206 17 46 7.9 -6.07
1410 1695523806.29206 20 14.4 21.3 -5.77
1411 1695523806.29206 22 119 -8.8 -6.09
1412 1695523806.29206 24 66.1 -3.5 -6.14
1413 1695523806.29206 25 9.7 41.8 -4.9
1414 1695523806.29206 29 50 -15 -6.08
1415 1695523806.29206 30 130.6 -8.9 -6.12
1416 1695523806.29206 32 30.3 -18.1 -5.93
1417 1695523806.29206 33 58.6 -0.3 -6.12
1418 1695523806.29206 36 40.5 -10.1 -6.05
1419 1695523806.29206 38 20.6 -23.9 -5.77
1420 1695523806.29206 39 7.3 51.1 -4.37
1421 1695523806.29206 41 75.2 3.3 -6.14
1422 1695523806.29206 44 44.1 -14.1 -6.04
1423 1695523806.29206 51 131.4 -5.6 -6.14
1424 1695523806.29206 54 21.7 11.4 -5.95
1425 1695523806.29206 55 9.1 -51.2 -4.96
1426 1695523806.29206 56 55.6 4.6 -6.12
1427 1695523806.29206 57 30.7 5.3 -6.05
1428 1695523806.29206 59 147.6 -7 -6.12
1429 1695523806.29206 60 83.2 -2.9 -6.18
1430 1695523806.29206 61 35.9 -16.4 -6.05
1431 1695523806.29206 63 11.1 -41.8 -5.05
1432 1695523806.237994 0 62.5 0.3 -6.16
1433 1695523806.237994 1 57.2 -11.3 -6.15
1434 1695523806.237994 4 162.8 -8.9 -6.16
1435 1695523806.237994 5 13.4 -33.7 -5.41
1436 1695523806.237994 7 114.4 -5.6 -6.19
1437 1695523806.237994 9 47.1 1.3 -6.13
1438 1695523806.237994 11 70.2 -3.6 -6.2
1439 1695523806.237994 12 27.2 -3.6 0.29
1440 1695523806.237994 14 36.7 3.8 -6.13
1441 1695523806.237994 15 15.6 31.3 -5.23
1442 1695523806.237994 17 44.5 8.3 -6.15
1443 1695523806.237994 18 141.5 -5.7 -6.17
1444 1695523806.237994 19 100.5 -5.9 -6.16
1445 1695523806.237994 20 12.9 24.9 -5.68
1446 1695523806.237994 23 118 -3.8 -6.16
1447 1695523806.237994 24 64.3 -3.1 -6.16
1448 1695523806.237994 25 8.5 47.9 -4.24
1449 1695523806.237994 28 14 35.7 -40.66
1450 1695523806.237994 29 48.2 -14.1 -6.09
1451 1695523806.237994 30 128.4 -8.4 -6.2
1452 1695523806.237994 31 118 4.9 -6.16
1453 1695523806.237994 32 28.3 -18.4 -5.95
1454 1695523806.237994 33 57.2 -0.5 -6.12
1455 1695523806.237994 38 18.4 -25.1 -5.76
1456 1695523806.237994 40 121.2 -7.3 -6.17
1457 1695523806.237994 41 73.7 3.5 -6.15
1458 1695523806.237994 43 136.5 -4.6 -6.17
1459 1695523806.237994 44 41.9 -14.7 -6.05
1460 1695523806.237994 45 145.3 1.8 -6.18
1461 1695523806.237994 50 79.6 9.8 -6.09
1462 1695523806.237994 53 94.8 -5.2 -6.18
1463 1695523806.237994 54 20 12.9 -5.96
1464 1695523806.237994 56 54.1 5.6 -6.12
1465 1695523806.237994 57 28.3 7.4 -6.06
1466 1695523806.237994 58 157.8 -6.7 -6.16
1467 1695523806.237994 59 146 -6.4 -6.2
1468 1695523806.237994 60 81.3 -2.6 -6.23
1469 1695523806.237994 61 28.4 -18.9 -5.98
1470 1695523806.237994 63 9.9 -47.9 -4.98
1471 1695523806.440667 0 135.4 -4.9 -6.2
1472 1695523806.440667 4 22.5 -20.1 -5.99
1473 1695523806.440667 5 11.7 -38.3 -5.12
1474 1695523806.440667 7 113.2 -5.8 -6.25
1475 1695523806.440667 9 45.6 1.9 -6.18
1476 1695523806.440667 11 63.1 -3 -6.23
1477 1695523806.440667 12 27.4 -3.3 0.28
1478 1695523806.440667 14 35.3 4.4 -6.14
1479 1695523806.440667 15 14.3 35.3 -4.84
1480 1695523806.440667 18 140.3 -5.4 -6.19
1481 1695523806.440667 19 99.3 -5.7 -6.16
1482 1695523806.440667 20 11.9 34.4 -5.52
1483 1695523806.440667 23 45.7 -24.4 -5.72
1484 1695523806.440667 27 172.1 -10.2 -6.17
1485 1695523806.440667 29 46.1 -13.9 -6.09
1486 1695523806.440667 30 126.7 -8.1 -6.22
1487 1695523806.440667 33 55.6 -0.2 -6.17
1488 1695523806.440667 36 140.7 -0.7 -6.17
1489 1695523806.440667 37 116.3 -3.9 -6.19
1490 1695523806.440667 38 16.7 -27 -5.73
1491 1695523806.440667 40 119.8 -7.2 -6.19
1492 1695523806.440667 44 39.9 -14.2 -6.12
1493 1695523806.440667 47 62.7 6.3 -6.19
1494 1695523806.440667 52 34.6 -15.6 -6.11
1495 1695523806.440667 54 18.1 14.9 -5.92
1496 1695523806.440667 56 52.9 6 -6.17
1497 1695523806.440667 57 26.4 8.9 -6.07
1498 1695523806.440667 59 144.8 -6.4 -6.23
1499 1695523806.440667 60 80.2 -2 -6.22
1500 1695523806.440667 61 26.3 -18.7 -5.98
1501 1695523806.440667 62 35.4 -10.6 -6.09
1502 1695523806.638986 5 10.3 -46.1 -4.95
1503 1695523806.638986 7 112 -6.1 -6.25
1504 1695523806.638986 9 44 2.6 -6.24
1505 1695523806.638986 11 62 -2.7 -6.29
1506 1695523806.638986 12 27.4 -2.7 0.25
1507 1695523806.638986 14 34 4.9 -6.2
1508 1695523806.638986 15 12.8 40.7 -4.43
1509 1695523806.638986 17 54.2 -12.5 -6.18
1510 1695523806.638986 18 139.2 -5.2 -6.25
1511 1695523806.638986 20 10.4 39.7 -4.74
1512 1695523806.638986 21 122.9 7.8 -6.2
1513 1695523806.638986 26 71.5 -0.4 -6.25
1514 1695523806.638986 29 44.7 -14 -6.17
1515 1695523806.638986 30 125.5 -8.5 -6.21
1516 1695523806.638986 31 133 -7.4 -6.23
1517 1695523806.638986 33 53.7 0.4 -6.23
1518 1695523806.638986 36 139.6 -0.4 -6.18
1519 1695523806.638986 38 15.3 -28.9 -5.71
1520 1695523806.638986 39 141.1 6.6 -6.2
1521 1695523806.638986 40 118.6 -7 -6.22
1522 1695523806.638986 41 123.2 -5.4 -6.21
1523 1695523806.638986 44 33.7 -15.9 -6.12
1524 1695523806.638986 46 11.7 -33.9 -5.29
1525 1695523806.638986 54 16.6 18.1 -5.88
1526 1695523806.638986 56 51.7 6.4 -6.23
1527 1695523806.638986 57 25.1 10.8 -6.09
1528 1695523806.638986 59 143.6 -6.2 -6.26
1529 1695523806.638986 60 74.7 -2.1 -6.25
1530 1695523806.638986 61 24.5 -19.7 -5.98
1531 1695523806.842015 4 169.7 1.4 -6.27
1532 1695523806.842015 5 9.1 -51.2 -4.76
1533 1695523806.842015 8 136.2 -3.9 -6.29
1534 1695523806.842015 9 42.8 2.9 -6.29
1535 1695523806.842015 11 60.7 -1.9 -6.31
1536 1695523806.842015 12 27.5 -2.4 0.22
1537 1695523806.842015 13 117.7 8.9 -6.22
1538 1695523806.842015 14 32.3 6 -6.21
1539 1695523806.842015 15 12 44.4 -4.5
1540 1695523806.842015 16 117.7 -3.7 -6.22
1541 1695523806.842015 17 52.6 -12.4 -6.23
1542 1695523806.842015 18 138 -4.9 -6.31
1543 1695523806.842015 20 9.3 43.4 -4.66
1544 1695523806.842015 24 124.7 -5.2 -6.27
1545 1695523806.842015 25 129.7 -7.2 -6.23
1546 1695523806.842015 27 155.2 -6.2 -6.28
1547 1695523806.842015 28 169.8 -8.9 -6.27
1548 1695523806.842015 29 42.6 -13.7 -6.23
1549 1695523806.842015 33 51.6 1.5 -6.3
1550 1695523806.842015 38 13.8 -33.2 -5.69
1551 1695523806.842015 40 117.2 -7.1 -6.28
1552 1695523806.842015 43 61 -10.5 -0.1
1553 1695523806.842015 44 31.9 -15.6 -6.15
1554 1695523806.842015 54 15.2 20.4 -5.8
1555 1695523806.842015 56 50.5 7.4 -6.23
1556 1695523806.842015 57 23.3 12.1 -6.09
1557 1695523806.842015 58 83.5 -1.3 -6.3
1558 1695523806.842015 59 142.4 -6.1 -6.32
1559 1695523806.842015 60 73.2 -1.6 -6.3
1560 1695523806.842015 61 22.8 -19.8 -5.98
1561 1695523806.842015 63 113.8 -2.7 -6.29
1562 1695523807.46257 3 128.2 -4.6 -6.3
1563 1695523807.46257 7 155 -6.6 -6.3
1564 1695523807.46257 8 134.9 -3.9 -6.35
1565 1695523807.46257 9 41.7 3.7 -6.29
1566 1695523807.46257 10 90.6 -3.9 -6.33
1567 1695523807.46257 11 59.5 -1.4 -6.31
1568 1695523807.46257 12 27.5 -2.2 0.18
1569 1695523807.46257 14 30.4 7.7 -6.22
1570 1695523807.46257 15 11.2 49.4 -4.54
1571 1695523807.46257 16 116.4 -4.1 -6.31
1572 1695523807.46257 17 50.7 -12.7 -6.29
1573 1695523807.46257 18 136.8 -4.9 -6.37
1574 1695523807.46257 20 8.4 51.1 -4.45
1575 1695523807.46257 26 17.1 30.8 30.49
1576 1695523807.46257 28 168.7 -8.9 -6.29
1577 1695523807.46257 29 40.5 -13.4 -6.27
1578 1695523807.46257 31 39.1 -4.7 -6.25
1579 1695523807.46257 32 135.2 -8.7 -6.33
1580 1695523807.46257 33 50 1.9 -6.33
1581 1695523807.46257 38 12.4 -36.4 -5.59
1582 1695523807.46257 40 116 -7.4 -6.34
1583 1695523807.46257 43 61 -9.9 -0.12
1584 1695523807.46257 44 30.5 -16.7 -6.16
1585 1695523807.46257 50 112.6 -0.2 -6.3
1586 1695523807.46257 52 137.6 1.9 -6.31
1587 1695523807.46257 53 123.4 -2.9 -6.31
1588 1695523807.46257 54 14.1 26.3 -5.75
1589 1695523807.46257 55 36.7 -10.1 -6.23
1590 1695523807.46257 56 49.3 7.9 -6.25
1591 1695523807.46257 57 21.8 13.5 -6.09
1592 1695523807.46257 58 82.2 -0.7 -6.3
1593 1695523807.46257 59 141.2 -6.1 -6.38
1594 1695523807.46257 60 72 -1.2 -6.36
1595 1695523807.46257 61 21.2 -21.9 -6.02
1596 1695523807.247722 2 129.7 -6.7 -6.34
1597 1695523807.247722 4 153.2 -0.7 -6.33
1598 1695523807.247722 5 15.3 -25.1 -41.63
1599 1695523807.247722 8 133.7 -3.7 -6.4
1600 1695523807.247722 9 39.8 4.4 -6.29
1601 1695523807.247722 11 58.3 -0.6 -6.31
1602 1695523807.247722 12 27.5 -1.9 0.12
1603 1695523807.247722 14 29.2 8.4 -6.27
1604 1695523807.247722 15 10.2 51.1 -4.35
1605 1695523807.247722 16 115.2 -4.6 -6.37
1606 1695523807.247722 17 49.6 -12.5 -6.34
1607 1695523807.247722 18 135.6 -5 -6.39
1608 1695523807.247722 19 15.3 20.4 -41.63
1609 1695523807.247722 21 102.7 -3.2 -6.34
1610 1695523807.247722 22 158.1 -7.2 -6.33
1611 1695523807.247722 24 45.6 -10.6 -6.29
1612 1695523807.247722 28 167.1 -8.9 -6.3
1613 1695523807.247722 29 38.5 -13.7 -6.27
1614 1695523807.247722 30 9.3 43.3 -4.82
1615 1695523807.247722 33 48.3 2.9 -6.33
1616 1695523807.247722 36 153.2 -5.2 -6.33
1617 1695523807.247722 38 11.1 -39.5 -5.53
1618 1695523807.247722 43 60.9 -9.6 -0.16
1619 1695523807.247722 44 29.4 -16.9 -6.23
1620 1695523807.247722 48 15.1 -29.3 -5.84
1621 1695523807.247722 50 111 -0.4 -6.34
1622 1695523807.247722 51 89.5 -3.4 -6.34
1623 1695523807.247722 54 12.7 30.9 -5.22
1624 1695523807.247722 56 48.1 8.6 -6.32
1625 1695523807.247722 57 20.2 15.1 -6.09
1626 1695523807.247722 58 80.9 -0.4 -6.35
1627 1695523807.247722 60 70.8 -0.8 -6.37
1628 1695523807.247722 61 19.4 -23.3 -6.01
1629 1695523807.247722 62 153.2 -9.2 -6.33
1630 1695523807.451660 0 133.6 -10.4 -6.41
1631 1695523807.451660 2 128.5 -6.6 -6.41
1632 1695523807.451660 3 117.4 -3.8 -6.39
1633 1695523807.451660 8 132.5 -3.6 -6.39
