帧ID 时间戳 目标ID 距离 角度 速度
414 1695523799.640239 13 30 9.8 -5.48
415 1695523799.640239 14 78.8 -3.1 -5.62
416 1695523799.640239 16 42.8 -13.3 -5.48
417 1695523799.640239 21 39.5 4.7 -5.55
418 1695523799.640239 23 34.3 12.6 -5.43
419 1695523799.640239 29 67.9 -0.1 -5.52
420 1695523799.640239 30 58.4 -9.8 0.66
421 1695523799.640239 32 106.7 -5.2 -5.59
422 1695523799.640239 33 16 23.8 -5.14
423 1695523799.640239 34 91.6 -5 -5.66
424 1695523799.640239 35 21.4 15.3 -5.37
425 1695523799.640239 37 14 38.5 -4.45
426 1695523799.640239 38 145 -5.2 -5.58
427 1695523799.640239 41 113.4 -6.2 -5.62
428 1695523799.640239 43 73.5 -3.4 9.69
429 1695523799.640239 51 27.9 -17.5 -5.43
430 1695523799.640239 52 93.1 -3.6 -5.58
431 1695523799.640239 53 12.8 -35.9 -4.67
432 1695523799.640239 57 18 -24.8 -5.2
433 1695523799.640239 58 36.2 -12.9 -5.48
434 1695523799.892510 2 9.6 48 -3.95
435 1695523799.892510 4 154.5 -8.2 -5.55
436 1695523799.892510 6 30 -15.4 -5.47
437 1695523799.892510 7 36.5 2.8 -5.52
438 1695523799.892510 11 8.4 51.1 -3.91
439 1695523799.892510 12 25.6 -2.1 0.88
440 1695523799.892510 13 28.2 11.4 -5.49
441 1695523799.892510 14 77.5 -2.3 -5.67
442 1695523799.892510 16 40.9 -13.6 -5.55
443 1695523799.892510 20 117.3 8.1 -5.55
444 1695523799.892510 21 37.5 6.9 -5.55
445 1695523799.892510 27 76.4 3.3 10.05
446 1695523799.892510 28 61.7 1.3 -5.59
447 1695523799.892510 29 66.6 -0.1 -5.61
448 1695523799.892510 30 58.5 -9.7 0.66
449 1695523799.892510 31 18.2 29.4 -4.83
450 1695523799.892510 32 104.9 -5.1 -5.59
451 1695523799.892510 34 90.3 -5.2 -5.62
452 1695523799.892510 35 19.6 17.4 -5.37
453 1695523799.892510 36 50.5 -13.1 -5.55
454 1695523799.892510 37 13 43.3 -4.27
455 1695523799.892510 40 76.4 0 10.04
456 1695523799.892510 43 76.1 -3.5 9.87
457 1695523799.892510 44 83.5 4.3 -5.6
458 1695523799.892510 47 15.2 25.6 -5.11
459 1695523799.892510 48 155 -6.5 -5.59
460 1695523799.892510 50 22 -21 -5.37
461 1695523799.892510 51 19 -24.2 -5.2
462 1695523799.892510 52 91.6 -3.3 -5.58
463 1695523799.892510 53 11.4 -42.4 -4.69
464 1695523799.892510 55 76 0.4 -5.59
465 1695523799.892510 56 169.4 -7.7 -5.59
466 1695523799.892510 58 34.5 -14.6 -5.48
467 1695523800.102428 0 33.9 13.3 -5.5
468 1695523800.102428 1 123.1 -5.9 -5.6
469 1695523800.102428 4 153.3 -8.4 -5.58
470 1695523800.102428 6 28.3 -16.9 -5.46
471 1695523800.102428 9 41.4 -13.6 -5.55
472 1695523800.102428 10 113.6 -5.6 -5.62
473 1695523800.102428 12 25.9 -2 0.75
474 1695523800.102428 13 26.7 10.7 -5.48
475 1695523800.102428 14 76.4 -1.9 -5.65
476 1695523800.102428 16 32.7 -15.7 -5.49
477 1695523800.102428 19 15.8 37.1 34.2
478 1695523800.102428 21 35.9 6.2 -5.55
479 1695523800.102428 23 153.6 -7.1 -5.61
480 1695523800.102428 24 49.2 2.8 -5.59
481 1695523800.102428 25 13.5 -34.4 -4.98
482 1695523800.102428 29 65.5 -0.1 -5.66
483 1695523800.102428 30 58.6 -9.7 0.6
484 1695523800.102428 31 16.7 25.8 -5.02
485 1695523800.102428 32 103.8 -5.2 -5.59
486 1695523800.102428 33 24.1 -18.2 -5.44
487 1695523800.102428 35 18 19.6 -5.33
488 1695523800.102428 36 49.2 -12.7 -5.55
489 1695523800.102428 37 12.3 47.6 -3.96
490 1695523800.102428 39 165.6 -6.1 -5.59
491 1695523800.102428 43 78.1 -3.3 9.98
492 1695523800.102428 45 11.6 42.5 -4.63
493 1695523800.102428 51 17.5 -25.7 -5.19
494 1695523800.102428 52 90.5 -3.4 -5.61
495 1695523800.102428 53 10.3 -48.5 -4.48
496 1695523800.102428 54 60.3 0.8 -5.62
497 1695523800.102428 56 168.4 -7.8 -5.59
